Title,Price (Rp)
KINGDOM HEARTS III (Chinese/Korean Ver.),"724,000"
Erica (English),"70,000"
"DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (Simplified Chinese, Korean, Traditional Chinese)","579,000"
Tom Clancy's The Division® 2 (English/Chinese/Korean/Japanese Ver.),"103,500"
"Assassin's Creed Odyssey - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","149,000"
DRAGON QUEST BUILDERS 2 (Chinese/Korean Ver.),"499,000"
DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Chinese/Korean Ver.),"299,000"
"The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese)","532,000"
JUDGE EYES: wills of death New Price Edition (Chinese Ver.),"239,000"
Adventure Time Pirates of the Enchiridion (English),"665,000"
"Spiritfarer®: Farewell Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","429,000"
"Stray (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","321,750"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","119,600"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","119,600"
ODDWORLD: NEW 'N' TASTY full game (English Ver.),"364,000"
"What Remains of Edith Finch (Simplified Chinese, English, Korean, Japanese)","69,750"
"Mortal Shell (Simplified Chinese, English, Korean, Japanese)","429,000"
"Yakuza: Like a Dragon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","271,660"
The Pedestrian (English),"279,000"
INSIDE (English/Chinese/Korean Ver.),"199,000"
Ryu Ga Gotoku KIWAMI (Chinese Ver.),"114,400"
Ryu Ga Gotoku KIWAMI2 (Chinese Ver.),"307,560"
"The Medium (Simplified Chinese, English)","699,000"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Chinese Ver.),"299,000"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro (Chinese/Korean Ver.),"339,000"
DRAGON BALL XENOVERSE 2 (English),"279,000"
"FINAL FANTASY VII REMAKE INTERGRADE (Chinese/Korean Version) (Simplified Chinese, Korean, Traditional Chinese)","579,000"
"Ghost of Tsushima DIRECTOR’S CUT (PlayStation Plus) (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Included
"Dead by Daylight PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","429,000"
"Chorus (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","579,000"
EARTH DEFENSE FORCE: IRON RAIN (English/Chinese/Korean/Japanese Ver.),"724,000"
"The Gardens Between (English, Korean, Japanese, Traditional Chinese)","279,000"
Ghost Recon Breakpoint - Standard Edition (English/Chinese/Korean/Japanese Ver.),"749,000"
"OMNO (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","199,000"
"Ghost Recon Wildlands - Digital Standard Edition (Simplified Chinese, English, Korean)","91,000"
"Bugsnax (Simplified Chinese, English, Korean, Japanese)","349,000"
"My Time at Portia (Simplified Chinese, English, Japanese, Traditional Chinese)","111,750"
"Returnal™ (Simplified Chinese, English, Korean, Traditional Chinese)","1,029,000"
"Demon's Souls (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","432,180"
"Assassin's Creed Chronicles - China (English, Korean, Traditional Chinese)","41,600"
"Assassin's Creed Chronicles - India (Simplified Chinese, English, Korean, Traditional Chinese)","41,600"
"Assassin's Creed Chronicles - Russia (Simplified Chinese, English, Korean, Traditional Chinese)","41,600"
Assassin's Creed® III Remastered - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"114,750"
"DEATHLOOP (Simplified Chinese, English, Korean, Traditional Chinese)","829,000"
"Assassin's Creed Unity - Digital Standard Edition (English, Korean, Traditional Chinese)","78,900"
Hohokum™ full game (English Ver.),"170,000"
"The Crew 2 - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","570,000"
"Control: Ultimate Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","579,000"
"Hollow Knight (Simplified Chinese, English, Korean, Japanese)","208,000"
"Maneater PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","579,000"
"Horizon Zero Dawn™: Complete Edition PlayStation®Hits (Simplified Chinese, English, Korean)","309,000"
UNCHARTED 4: A Thief's End™ PlayStation®Hits (Game),Included
UNCHARTED: The Lost Legacy™ (English/Chinese/Korean Ver.),Included
Saints Row IV: Re-Elected (English),"42,600"
Saints Row: Gat out of Hell (English),"213,000"
"Assassin's Creed Rogue Remastered - Digital Standard Edition (English, Korean, Traditional Chinese)","107,700"
"Assassin's Creed The Ezio Collection (Simplified Chinese, English, Korean, Traditional Chinese)","146,700"
"Human: Fall Flat PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","195,000"
Monopoly Plus (English),"50,700"
Rabbids®Invasion: The interactive TV Show full game (English),"396,000"
Rayman® Legends - Digital Standard Edition PlayStation®Hits (English),"279,000"
Scott Pilgrim vs. The World™: The Game – Complete Edition (English),"49,170"
"The Dark Pictures Anthology: Man of Medan PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","299,000"
Ys VIII -Lacrimosa of DANA- Standard Edition (Chinese Ver.),"679,000"
