Halaman,Berita
27,Pakar Hukum UNAIR Soroti Fenomena Timbang Kesopanan untuk Keringanan Hukuman
27,"Naik Tiga Tingkat, UNAIR Berhasil Raih Ranking Ke-12 dalam UI GreenMetric 2021"
27,Rektor UNAIR Tekankan Pentingnya Kolaborasi Antar Sektor dalam Penanganan Masalah
27,UNAIR Borong Juara dalam Ajang KMI Expo XII
27,"Akademisi UNAIR Diakui Sebagai Top 0,1% Pakar Helicobacter pylori di Dunia"
27,Menkes Dukung Pengembangan Vaksin Merah Putih Buatan UNAIR dan PT. Biotis Pharmaceuticals Indonesia
27,UNAIR Raih Juara 4 PIMNAS ke-34
27,Gubes UNAIR Masuk Ilmuwan Terbaik Dunia Menurut Stanford University
27,UNAIR Peringkat Pertama Kategori “Informatif” Anugerah Keterbukaan Informasi Publik
28,"Perkuat Nilai Pancasila, Mahfud MD Silaturahim dengan Dewan Guru Besar UNAIR"
28,"Pengukuhan Gubes, Rektor: Tanpa Riset, Kehidupan Manusia Tidak Akan Berkembang"
28,UNAIR Umumkan Ketentuan Pelaksanaan Perkuliahan Semester Gasal 2021/2022
28,Gubernur Jatim Khofifah Berpesan Kepada Wisudawan UNAIR untuk Kuatkan Jejaring
28,Menhan Prabowo Teken MoU dengan Rektor UNAIR
28,UNAIR Masuk Group Ranking 4 Pemeringkatan THE WUR
28,Kolaborasi UNAIR Kembangkan 15 Produk Inovasi untuk Tangani Covid-19
28,"Kukuhkan 8.174 Mahasiswa Baru, Rektor Berikan Pesan 4 Ciri Pembelajar"
28,UNAIR Akomodasi Permohonan Keringanan UKT
28,Rektor UNAIR Resmi Lepas 51 Mahasiswa Program IISMA
28,Fakultas di UNAIR Tuntas Jalani Penilaian Zona Integritas
28,UNAIR Peringkat 4 Webometrics untuk Indikator Openness
29,Simak Cara Dapatkan Vitamin dan Obat Bagi Masyarakat Isoman Menurut Epidemiolog UNAIR
29,"Dukung WCU, Departemen IPM Miliki Banyak Ragam Pohon Penelitian"
29,"Dukung SDGs, UNAIR Sediakan Fasilitas Olahraga dan Terapkan Kebijakan Bebas Asap Rokok"
29,Peserta KIP Kuliah Bisa Mendaftar Jalur Mandiri UNAIR
29,"Peringkat Naik Melesat, UNAIR Masuk 465 Kampus Terbaik Dunia"
29,Koleksi Museum Etnografi FISIP Siap Dukung Program SDGs UNAIR
29,Uji Praklinik Tahap 1 Vaksin Merah Putih UNAIR Peroleh Hasil Bagus
29,UNAIR Salurkan 2.000 Paket Sembako untuk Masyarakat
29,Tiga Fakultas di UNAIR Masuk Top 3 Pemeringkatan Scimago
29,Rektor UNAIR Dengar Pendapat dengan Gubernur Jatim Perkuat Kerja Sama
29,UNAIR Kukuhkan Lima Guru Besar Baru
29,"Pakar Hukum UNAIR: Jika THR Dicicil, Perusahaan Harus Transparan"
30,"Jadi Mahasiswa Termuda FK UNAIR, Nabila: Saya Ingin Sukses di Usia Muda"
30,"Berusia 15 Tahun, 4 Siswa Ini Lolos SNMPTN 2021 UNAIR"
30,1.374 Siswa Lolos Jalur SNMPTN 2021 UNAIR
30,Sejumlah Dosen dan Tendik UNAIR Telah Mengikuti Vaksinasi Covid-19
30,Hari Perempuan Internasional Momentum untuk Berani Bersuara
30,Rektor Sediakan ‘Golden Ticket’ Masuk UNAIR Melalui Jalur Khusus
30,"Langsung ke Majene, RSTKA Layani 35 Pasien dan 7 Operasi"
30,"Bantu Tangani Gempa Sulawesi Barat, UNAIR Kirim Tim Aju I dan Kapal Rumah Sakit Terapung (RSTKA)"
30,Pakar Epidemiologi UNAIR Sebut Vaksin Sinovac Miliki Beberapa Keunggulan
30,Kolaborasi UNAIR-UiTM Malaysia Perkuat Rekognisi Kampus Kelas Dunia
30,Direktur Pendidikan UNAIR Tanggapi SK Menteri Perihal Kuliah Tatap Muka
30,UNAIR Raih Video Terkreatif se-Asia Pasifik
31,"Abdul Kadir Jailani, Alumnus Hukum UNAIR yang Kini Menjabat Direktur Jenderal Asia Pasifik dan Afrika"
31,UNAIR Jadi Institusi Terproduktif Bidang Kesehatan-Obat
31,Pelaku Usaha Pariwisata Harus Tekankan Kreativitas
31,"Lantik Wadek dan Wadir, Rektor Berpesan Wujudkan Smart University"
31,Rektor UNAIR Lantik Pejabat Periode 2020-2025
31,"Kali Pertama, UNAIR Kukuhkan Mahasiswa Baru Secara Online"
31,UNAIR Masuk Daftar Perguruan Tinggi Klaster 1 Kemendikbud
31,"Capai 521-530 Kampus Terbaik Dunia, UNAIR Raih Lompatan Peringkat Tertinggi di Indonesia"
31,RSUA Masuk Tiga Besar Tangani Covid-19 di Indonesia
31,Laman Berita UNAIR Raih Silver Winner di Public Relations Indonesia Awards 2020
31,Sebanyak 1.492 Siswa Diterima UNAIR Lewat Jalur SNMPTN
31,"Di Tengah Isu Persebaran Korona, UNAIR Terapkan Ujian Online"
32,Kunjungan Assesment ASIIN Tandai 12 Prodi UNAIR Siap Terima Akreditasi Internasional
32,Mengenal Perkembangan Jenis Baru Virus Corona yang Infeksi Ribuan Orang
32,Mengenal Perkembangan Jenis Baru Virus Corona yang Infeksi Ribuan Orang
32,Mahasiswa IIP UNAIR Bagikan Pengalaman Magang di Perpustakaan Negeri Jiran
32,Registrasi Akun LTMPT Diperpanjang Hingga 9 Januari 2020
32,UNAIR Raih Penghargaan Internasional Bergengsi di Jepang
32,Tujuh Mahasiswa Asing Asal Myanmar Ikuti Student Inbound di S2 PSDM UNAIR
32,Mahasiswa UNAIR Olah Tanaman Liar Ketul Jadi Obat Sariawan
32,Mahasiswa UNAIR Sampaikan Gagasan Sedotan Rumput Laut di Thailand
32,Sinau Bareng Cak Nun dan Kiai Kanjeng Meriahkan Malam Puncak Dies Natalis UNAIR Ke-65
32,"Sidang Universitas Dies Natalis ke-65, Rektor UNAIR:  Orientasi Kita Melayani Masyarakat"
32,OJK Teken Kerja Sama dengan UNAIR Edukasi Masyarakat Soal Jasa Keuangan
33,Alumni FH Kunjungi Rektor Dukung Kemajuan UNAIR
33,FISIP UNAIR Apresiasi Mahasiswa Afrika Melalui African Day
33,"Perluas Kerja Sama, AGE Adakan Pertemuan Dengan National Pingtung University"
33,Dekan FKG UNAIR Penuhi Undangan King Abdul Aziz University
33,"Satu Satunya dari Indonesia, Amel Wakili UNAIR di Triangle Sci"
33,"Ciptakan Sampo Kemangi, Mahasiswa FKp Raih Perak di World Invention Technology Expo 2019"
33,Raih Medali Emas Berkat Teknologi Palialif Pasien HIV/AIDS
33,"Usung Technology Early Warning System, Mahasiswa FST Juara II Festival Fisika di Samarinda"
33,Sebelas Mahasiswa FKG UNAIR Panen Juara dalam 13th Dentistry Scientific Meeting
33,Rektor UNAIR: Diperlukan Edukasi Bencana Sejak Dini
33,UNAIR Kampus Pertama di Asia Tenggara Ikuti Proses Akreditasi APHEA
33,Dosen UNAIR Sabet Runner Up Academic Leader 2019
34,"Tak Hanya Suarakan Aspirasi, Mahasiswa Punguti Sampah Usai Aksi"
34,"Kunjungi KBRI Inggris, UNAIR Tingkatkan Rekognisi di Mata Global"
34,"KPI Layangkan Teguran Pada Kartun Spongebob, Ini Pendapat Pakar Ilmu Komunikasi UNAIR"
34,Tim Peneliti UNAIR Kembangkan Alat Dentolaser Biomodulasi untuk Akupunktur
34,Menghadapi Berbagai Tekanan di Usia 20-an
34,RS UNAIR Raih Gold Award pada AMA 2019 di Vietnam
34,UNAIR Tambah Tiga Guru Besar Baru
34,Orasi FH UNAIR Ajak Masyarakat Tolak Revisi UU KPK
34,Mahasiswa FIB Raih Dua Penghargaan di Thailand
34,Keterbatasan Ekonomi Tak Halangi Yurike Raih Gelar Sarjana Ilmu Gizi UNAIR
34,UNAIR Libatkan Pakar Diskusikan Pilkada 2020
34,Tim Kemenristekdikti Tinjau Dosen UNAIR untuk Penghargaan Academic Leader
35,Cangkang Kapsul Rumput Laut dan Stem Cell jadi Sorotan di RITECH EXPO 2019
35,Raih Juara II di Konferensi Harvard University
35,"INSBIOMM, Tingkatkan Keamanan Kesehatan Dunia Melalui Riset Kolaboratif Antar Peneliti"
35,FKG UNAIR Jajaki Kerjasama dengan Perguruan Tinggi Amerika dan Korea
35,"Sosok Raras, Pengibar Bendera UNAIR yang Pernah Menjadi Paskibra Nasional"
35,"Tahukah Anda, Olahraga Berpengaruh Terhadap Kesehatan Gigi dan Mulut"
35,Lima Belas Tim PKM UNAIR Siap Bertarung pada PIMNAS 32 di Bali
35,"Kado HUT RI ke-74, Pustakawan UNAIR Raih Penghargaan Berprestasi Terbaik"
35,"Nastiti Lulus S3 Usia 26 Tahun dengan IPK 4,00"
35,UKM PSHT Bawa Pulang Dua Medali Pada Kejuaraan Pencak Silat di Singapura
35,Juara I Berkat Olah Sampah Dapur Asrama
35,UNAIR dan Jawa Pos Bahas Walikota Surabaya 2020
36,Empat Delegasi UNAIR Boyong Predikat Top 5 Groups Presentations di STEP AUS 2019
36,Libur Semester? Nikmati Senja di Pulau Gili Noko Bawean Bisa Jadi Pilihan
36,"Oleh-oleh ‘Cikgu’ Mahasiswa UNAIR, Belajar Arti Perjuangan Hidup dari Anak-anak TKI di Malaysia"
36,Belajar Jurnalisme dan Ketemu Tokoh Inspiratif di EMTEK Goes To Campus
36,Tenaga Kependidikan Didorong Tingkatkan Rangking Webometrics
36,Alumni Tahun Lulus 2015 Dianjurkan Segera Mengisi Tracer Study
36,3.477 Peserta KKN-BBM Siap Memberdayakan Manusia Pedesaan
36,Imamatul Angkat Isu Pendidikan Karakter dalam Ajang Mawapres
36,"Lagu-lagu Daerah Jadi Jagoan, Kemenangan Tim Paduan Suara Disambut Meriah"
36,"Berhasil Mendaki Denali, Tim AIDeX Tiba di Tanah Air"
36,Inilah Empat Makna Lebaran dalam Budaya Jawa
36,Tim Paduan Suara UNAIR Sabet Gelar Juara di Austria
37,Kemenhub Ajak UNAIR Bahas Revitalisasi Mahkamah Pelayaran
37,Wanala Tambah Catatan Keberhasilan Pendakian Puncak Denali
37,Ksatria Airlangga Kibarkan Merah Putih di Puncak Denali
37,"Selangkah Lagi, Puncak Denali Berhasil Diraih"
37,Rektor Dorong Sivitas Akademika Hidupkan Budaya Akademik
37,UNAIR Terima 1.972 Calon Mahasiswa Baru Jalur SBMPTN
37,UKM PSUA Persembahkan Konser Jelang Berlaga di Austria
37,"Cuaca Tak Menentu, Pendakian di Denali Sempat Terhenti"
37,"Satu Kamp Lagi, Para Atlet Wanala Gapai Puncak Denali"
37,Obsesi Calon Dokter Menjadi Seorang Barista
37,Menikmati Gema Ramadan di Nuruzzaman
37,"Hari Keempat di Denali, Tim Atlet Wanala Capai Kamp Dua"
38,"Novita, Putri Tukul Arwana Ingin Belajar tentang Masyarakat di UNAIR"
38,"Laserpunktur, Harapan untuk Kedaulatan Bibit Ternak Indonesia"
38,Empat Panelis Indonesia-Australia Bahas Optimalisasi Sektor Maritim
38,"Berprestasi adalah Hal Utama, Belajar tetap Prioritas Pertama"
38,Tim Atlet Denali Disambut Ramah oleh KJRI San Francisco
38,Para Orang Tua Mahasiswa Siap Bersinergi Demi Pengembangan Universitas
38,"Zamzam Multazam, Mahasiswa Termuda Jalur SNMPTN Berusia 15 Tahun"
38,"Bulan Juni, Tim UKM Paduan Suara Berlaga di Austria"
38,LP4M Canangkan Model Terbaru KKN Tematik
38,Indonesia Memasuki Masa Transisi Epidemiologi Penyakit
38,Peringati Hari Hipertensi Sedunia dengan Pemeriksaan Gratis
38,UNAIR Sambut 468 Calon Penerima Bidikmisi Jalur SNMPTN
39,"Tiga Tahun Berlalu, Australia Indonesia Center Bakal Perpanjang Kerjasama"
39,Calon Mahasiswa UNAIR Diimbau Teliti dalam Membawa Berkas Pendaftaran
39,Atlet Denali Bertolak Menuju Paman Sam
39,Cegah Peretasan? Update Antivirus dan Sistem Operasi
39,Ujian SBMPTN di UNAIR Berjalan Lancar
39,"Gelar Konser Kedua, UKM Orkestra Lantunkan Lagu-lagu Cinta 1990-an"
39,Prodi Sastra Indonesia Tingkatkan Kualitas Capaian Pembelajaran
39,Tim Fakultas Psikologi Juara Festival Rujak Uleg Lima Kali Berturut-turut
39,"Kunjungi UNAIR, Dubes Pakistan Bahas Kerjasama dan Beri Kuliah Umum"
39,FKG UNAIR Inisiasi Riset Terbaru Kesehatan Gigi dan Mulut dengan Standar WHO
39,"Siap Menuju Puncak Denali, Para Atlet Wanala Dilepas Rektor"
39,UKM UNAIR Usung Budaya Bali dalam Parade Bunga dan Budaya
40,"Pergi Ke Thailand, Mahasiswa FKM Serap Ilmu Kesehatan dan Toleransi"
40,Alumnus FK Ini Presentasi Riset Vaksin Tuberkulosis di 20 Negara
40,Mencerdaskan Kehidupan Bangsa Masih Jadi Pekerjaan Rumah
40,Perkembangan Riset Stem Cell UNAIR Disambut Positif Menristekdikti
40,"Tinjau Hasil Riset, Menristekdikti Apresiasi Para Peneliti"
40,UNAIR Terima 1.865 Calon Mahasiswa Lewat SNMPTN
40,"Tahun 2017, Nilai Tes SBMPTN Digunakan untuk Seleksi Jalur Mandiri UNAIR"
40,Diskusi Santai antara Mahasiswa Internasional dan Pimpinan
40,"Besok, Pendaftaran SBMPTN Dibuka"
40,Inilah Latihan Terakhir Atlet Wanala Sebelum Pergi ke Denali
40,UNAIR dan Swiss Bekerjasama Kembangkan One Shoot Vaccination
40,DPR Bahas Program Wajib Kerja Dokter Spesialis di UNAIR
41,"Berbekal Surat Tanda Registrasi, Lulusan Pengobat Tradisional Siap Hadapi Dunia Kerja"
41,UNICEF Berharap Program GELIAT Berkelanjutan
41,Rumah Sakit Terapung Siap Beroperasi di Hari Kebangkitan Nasional
41,Tiga Guru Besar Diskusikan Masalah Pemberitaan Hoax
41,Inilah Sepuluh Peneliti dalam Top Scientist versi Webometrics
41,"IG Bagus Yatna Wibawa, Wisudawan Terbaik S-2 Sekolah Pascasarjana"
41,"Juara Silat dan Organisasi, Anggi Wisudawan Berprestasi FPK UNAIR"
41,"Ilhami Ginang P, Lulus Terbaik S-2 FH UNAIR dengan IPK 4,0"
41,Wisudawan UNAIR: ’Kami Siap Menjadi Pemain Masa Depan’
41,Calon Lulusan Perguruan Tinggi Dianjurkan Persiapkan Diri Hadapi Dunia Kerja
41,"Hari Ini, 1.008 Mahasiswa UNAIR Berganti Status Jadi Wisudawan"
41,Rektor Mewisuda 2018 Lulusan Universitas Airlangga
42,"Berganti Nama, dari PDD Menjadi PSDKU UNAIR di Banyuwangi"
42,Mahasiswa UNAIR Banyuwangi Jadi Relawan Aksi ’Jempol Goes to School’
42,FPK Tebar Sepuluh Ribu Benih Ikan Nila di Danau Kampus
42,FPK Tebar Sepuluh Ribu Benih Nila di Danau Kampus
42,Inilah Tantangan Perempuan Saat Ini
42,"Perpanjang MoU, BNI Syariah Tawarkan Program Baru"
42,"Tak Menunggu Lama, Pil KB Untuk Pria Akan Dihilirisasi"
42,Ngobrol Bareng tentang UNAIR di SMAN 1 Denpasar
42,Duta Besar AS untuk RI Apresiasi Program Geliat UNAIR
42,"Senam Bugar Airlangga Diluncurkan, Tiga Staf Raih Hadiah Umroh"
42,"BAPOMI Jatim Gelar POMDA, untuk Seleksi Atlet ke POMNAS XV Makassar"
42,Pergizi Pangan dan UNAIR Sukses Selenggarakan ’Pekan Sarapan Nasional’ 2017
43,Semua Alumni UNAIR Dihimbau Segera ‘Update’ Data di Web IKA
43,"Pertama Kalinya, Peraih Nobel Beri Kuliah Umum di UNAIR"
43,Peraih Nobel Isi Diskusi di Istana Grahadi
43,Akmal: Prof. Hatta Ali Representasi Pengabdian Almamater Tercinta UNAIR untuk Bangsa
43,UNAIR Anugerahi Gelar Doktor Kehormatan kepada Peraih Nobel Ekonomi
43,"UNAIR ‘Mengejar’ Hak Paten, Dimungkinkan Sebagai Dana Operasional Pendidikan"
43,FK UNAIR Gelar Olimpiade Fisiologi Pertama di Indonesia
43,Delegasi FH UNAIR Raih Peringkat Empat dalam Kompetisi Peradilan Semu Tertua
43,Proteomik Sebagai Tool dalam Pembuatan Vaksin Emerging dan Re-Emerging Disease
43,"Gandeng Pelajar SMA, Erasmus University dan FK UNAIR Kenalkan Bahaya Virus"
43,Berharap IKA-FPK Berperan Menunjang Capaian Almamater
43,"RSUA Telemedicine, Inovasi Terbaru dari RS UNAIR"
44,"Apresiasi Jumlah Publikasi dan Mutu Layanan, UNAIR Berikan Penghargaan pada Dosen"
44,Beragam Program Warnai KKN di Nganjuk
44,Dokter Anestesi FK UNAIR Sukses Dapatkan 7 HAKI
44,"Rektor: Dorong Sinergi Antara Pemerintah, Industri, dan Perguruan Tinggi"
44,Komisi XI Ajak UNAIR Bahas Panja PNPB
44,Mutu Pendidikan UNAIR Capai Peringkat “Excellence”
44,Perkaya Wawasan Hukum di Koleksi Khusus FH UNAIR
44,Ustaz Yusuf Mansur: Berdoa adalah Cara Manusia Berdialog dengan Tuhan
44,UNAIR Sosialisasikan SNMPTN-SBMPTN di Kabupaten Tuban
44,"ASAD-C, Laboratorium Kadaver Berdesain Layaknya Kamar Operasi"
44,Optimisme Pengembangan Bio-Optika dan Laser Harus Digelorakan
44,Alumnus Farmasi Berikan Tips Profesional Bagi Mahasiswa
45,Ahli Bedah Plastik Ciptakan Krim Atasi Keloid
45,Pelepasan Program Pertukaran Mahasiswa Tanah Air
45,"Ruby Castubee, Profesor Penyakit Gusi Sekaligus Musisi"
45,UNAIR Jadi Tuan Rumah Forum EPI UNET
45,"SNMPTN 2017 Lebih Selektif, Sesuai Pemeringkatan Panitia Pusat"
45,Fakultas Keperawatan Menang Lomba Web Terbaik Universitas
45,"Belajar Fenomena Alam, Instrumentasi sampai Medis di Fisika UNAIR"
45,"2531 Mahasiswa UNAIR KKN di 235 Desa, 17 Mahasiswa Asing"
45,Sederet hal Menarik yang Kamu Temui Jika Kuliah di Ilmu Sejarah UNAIR
45,"Peduli Mahasiswa Kurang Mampu, UNAIR Canangkan Perubahan Mekanisme UKT"
45,"Tingkatkan Penelitian dan Publikasi, UNAIR Adakan Roadshow ke Fakultas"
45,Inovasi Berkesinambungan di Sekolah Pascasarjana
46,Mahasiswa FK Dipercaya IFMSA Jadi Ketua Level Asia Pasifik
46,Inilah Target UNAIR Bidang Akademis Tahun 2017
46,Yon Koeswoyo dan B-Plus Band Puaskan Reuni FH UNAIR
46,Mahasiswa FH Juarai Ajang Pemilihan Puteri Indonesia Jatim 2017
46,"Peternakan Bisa Berkembang, Tapi…"
46,AHSI Kerahkan Jejaring Internasional Menyongsong Target WCU
46,Inilah Pertolongan Pertama pada Orang yang Mendadak Pingsan
46,Rektor Sampaikan Pesan Awal Tahun
46,"Akhiri Kepengurusan, BEM FEB UNAIR Adakan Jalan Sehat di Kota Batu"
46,Alumni FE UNAIR 89 Gelar Khitanan Massal
46,"Kaleidoskop Prestasi 2016: Dari Vaksin Flu Burung, Festival Rujak Uleg, hingga Alumnus Berprestasi"
46,Bahas Isu Kebinekaan Kapolri Beri Kuliah Umum di UNAIR
47,"Kaleidoskop UNAIR 2016: Dari Operasi TEVAR, Kerjasama Riset, Pengukuhan Guru Besar"
47,"Kembangkan SDM, Timor Leste Bakal Kirim SDM untuk Belajar di UNAIR"
47,UNAIR Siapkan Prodi Menuju Akreditasi Internasional
47,"2017, Sembilan Prodi UNAIR Siap Dinilai Asesor AUN-QA"
47,"Sempat Tak Direstui Ibunda, Karir Model Cantik Asal FH Semakin Bersinar"
47,Asesor AUN Apresiasi Kinerja Tiga Prodi UNAIR
47,"Hikmah “Bongkar” Skripsi, Jessica Lulus Terbaik S-1 FST UNAIR"
47,3 Prodi di UNAIR Siap Akreditasi Tingkat ASEAN
47,"Menuju WCU, UNAIR Ajak Dosen Aktivasi Akun Penelitian"
47,Kuliah Umum Pakde Karwo di PDD UNAIR Banyuwangi
47,Kepala Pusat Kesehatan TNI AD: Waspadai Bioterorism di Indonesia
47,Anggota UKM Penalaran UNAIR Sabet Juara Karya Tulis di Makassar
48,"Sempat Cabut Gigi dan Pasang Bola Mata, Operasi Celah Wajah Pasien RS UNAIR Berjalan Lancar"
48,Rumah Sakit Gigi dan Mulut UNAIR Peroleh Izin Operasional Tetap
48,Para Tokoh Berbagi Strategi Menghadapi MEA
48,Pasien Celah Wajah RS UNAIR Akan Jalani Operasi Tahap Kedua
48,"Teknik Rekayasa Jaringan, Teori Baru Pengembangan Perawatan Gigi"
48,Fermentasi Jerami Padi Dukung Swasembada Daging di Indonesia
48,Teknologi Medis dan Industri Berbahan Sensor Serat Optik
48,Rektor UNAIR Berharap Guru Besar Juga Sebagai Agen Pengembangan Peradaban
48,Delegasi Fakultas Hukum Juarai Kompetisi Peradilan Semu Nasional
48,"Lagi, UNAIR Akan Kukuhkan Tiga Guru Besar Baru"
48,"Atlet Denali: Berlatih di Semeru, Berkawan dengan Hujan"
48,"17 Tahun Dharma Wanita Persatuan, Menguatkan Keluarga dengan Dukungan"
49,Menggalakkan Riset untuk Memperbaiki Daya Saing Nasional
49,Tiga Prodi di Vokasi Raih Akreditasi A
49,"Dorong Siswanya Diterima PTN, SMAN 21 Surabaya Dirikan ’Relili’"
49,Praktisi dan Sosiolog HAM Imam Prasodjo Dianugerahi Soetandyo Award
49,Cak Kartolo Meriahkan Dies Natalis FIB UNAIR ke-18
49,"Setelah Vakum Setahun, Atlet Tenis Meja Kembali Raih Prestasi"
49,UNAIR Matangkan Persiapan Guna Sambut Penerima Nobel Ekonomi
49,Menggali Wacana Masyarakat Adat Samin
49,"Waspadai Virus Zika, FKM UNAIR Gelar Simposium “Virus Zika Kepung Indonesia”"
49,Mahasiswa Pascasarjana Gelar Donor Darah
49,"Akhiri Kepengurusan, BEM FEB Ajak Sivitas Bersenam Ria"
49,"Dari 874 Wisudawan UNAIR, 24 Lulus Terbaik dan Delapan Berprestasi"
50,Wisudawan: Kami Siap Belajar di ”Universitas Kehidupan”
50,"Rektor UNAIR Wisuda 874 Lulusan, Disarankan Terus belajar"
50,FKH UNAIR Gelar Seminar dan Workshop untuk Tekan Bencana Penyakit Zoonosis
50,Museum Sejarah dan Budaya UNAIR Resmi Dibuka
50,Mengenal Hungaria Melalui Diskusi Bersama Ambasador
50,"Sedang Dibangun, Akses Jalan “Alternatif” di Kampus C UNAIR"
50,"Malam Apresiasi, UNAIR Berikan Penghargaan Bagi Sivitas Akademika dan Tokoh Publik"
50,Beragam Narasumber Bahas Masa Depan Indonesia
50,Segera Keluar dari Middle Income Trap
50,"Kembangkan Potensi Perikanan dan Peternakan, Pemkab Pacitan Jalin Kerja Sama dengan UNAIR"
50,Prof. Jimly: Pilihan Sikap Generasi Muda Harus Optimis
50,PIH UNAIR Wadahi Dialog Kehumasan Se-Jatim
51,"Bahas Obat, Komisi IX DPR RI Kunjungi Fakultas Farmasi UNAIR"
51,Peluang Kerja WNI di Organisasi Internasional Masih Terbuka Lebar
51,"Outlook 2017, UNAIR Ajak Pakar dan Gubernur Jatim Bahas Masa Depan Indonesia"
51,"Bersiap Menuju Denali, Atlet WANALA Seret Ban dan ‘Jatuhkan Diri’ di Bromo"
51,Fakultas Farmasi Optimis Menjadi Pionir di Bidang Pengobatan Herbal
51,Delegasi UNAIR di DPP HMPI Bertekad Memajukan Riset dan Program Aplikatif
51,"Sudah Saatnya, Penanganan Kesehatan Jiwa pada Pasien Penyakit Kronis di RSU"
51,“Kampoeng Aksi” Mahasiswa Akuntansi UNAIR Banyuwangi Bina Manajemen UKM
51,Kenalkan Khasiat Pengobatan Tradisional Melalui BOTM
51,Ahli Ilmu Politik UNAIR Dikukuhkan Jadi Anggota Akademi Ilmu Pengetahuan Indonesia
51,Ketoprak Humor Himpuni Buat Hadirin Ger-Geran
51,"Pemilihan Duta FEB UNAIR 2016, Harus Berwawasan Luas"
52,Pengmas Magister Keperawatan UNAIR Tingkatkan ‘Caring’ Perawat RS PHC
52,Rektor Lepas PNS Tenaga Kependidikan Purna Tugas
52,Budaya Sebagai Bahasa Universal Pemersatu Bangsa
52,"IDSC, Ajang Internasional Menemukan Ide Stabilitas Finansial"
52,Mari Bekerja untuk Mencari RidhoNya
52,"Bantu Tekan Angka Penderita, UNAIR Perpanjang Kerjasama dengan Yayasan Kanker Indonesia"
52,Kampus India Belajar Strategi Bisnis di Magister Manajemen FEB
52,Mahasiswa Pascasarjana Pun Bisa Berprestasi di UKM Kampus
52,"Gali Ilmu di Lapangan, Mahasiswa PDD Banyuwangi Adakan ‘My Trip My Education’"
52,“Sang Ksatrya Mahapurusha” Juara Sayembara Naskah Wayang Lakon Airlangga
52,Membaca Sebagai Terapi Rehabilitasi Bagi Orang dengan Gangguan Jiwa (ODGJ)
52,”Airlangga Sumbaga Wiratama” Sukses Dipentaskan dalam Wayang Semalam Suntuk
53,Tebar Wawasan Stabilitas Keuangan ASEAN Melalui Seminar Internasional
53,FISIP Ideas Matter Meriahkan 39 Tahun FISIP UNAIR
53,Mahasiswa Gizi UNAIR Adakan Seminar Cegah Diabetes
53,Berpulangnya Guru Besar ‘Santun’ Anatomi FK UNAIR
53,"Diikuti Lebih 7.000 Tim, SMA Kharisma Bangsa Banten Juara Utama Medspin FK"
53,Kehadiran Lakon Airlangga di Jagat Pewayangan Indonesia
53,41 Mahasiswa HI UNAIR Ramaikan Kompetisi Olahraga di Malang
53,Mahasiswa UNAIR Borong Juara di Kompetisi Berkuda
53,Rahwana dan Rama akan bertarung  di UNAIR
53,9 Alumnus UNAIR Duduki  Posisi Strategis di Pemerintahan
53,"Jalin Kerja Sama dengan UNAIR, Pokphand Siap Berikan Beasiswa"
53,"Tahun Kesepuluh Psychofest, Kita Nggak Sendiri!"
54,"Perlu Diwaspadai, Bakteri Baru di Air Penyebab Radang"
54,"Selama Dua Minggu, Atlet Denali Summit Attack Enam Kali ke Mahameru"
54,Juara Kompetisi Paper dan Hasil Penelitian dalam IRIE 2016
54,Pameran Riset Expo UNAIR Diharapkan Semakin Lebih Baik
54,Tren Positif Usai Berkunjung ke UNAIR
54,Pentingnya Wawasan Kelautan Indonesia Menuju Poros Maritim Dunia
54,RS Terapung UNAIR Siap Bantu Atasi Kesenjangan Yankes Kawasan DTPK
54,"Dies Natalis ke-39, FISIP Adakan Konferensi Internasional"
54,Gebyar Akreditasi Tandai RS UNAIR Raih Akreditasi Paripurna
54,Acara ISEF 2016 Diikuti Mahasiswa dan Warga Se-Jawa dan Bali
54,Badri Munir Sukoco Raih Penghargaan Alumnus Berprestasi di Taiwan
54,Alumni Perguruan Tinggi Negeri se-Indonesia Pentaskan Ketoprak Humor
55,"Peringati Hari Kesehatan Nasional, HRLS FH UNAIR Gelar Workshop Kesehatan"
55,UNAIR Pelopori Transparansi Tata Kelola Perguruan Tinggi
55,"Perjalanan Produksi Sperma Beku Sapi, 89 Persen Berhasil Bunting"
55,"Kambing Sapenair-1, Inovasi Tim Peneliti FKH UNAIR"
55,Tiap Individu Mesti Peduli dengan Potensi Kebakaran di Sekitarnya
55,"Kembangkan Passion, Mahasiswa Sebaiknya Tidak Hanya Kutu-Buku"
55,Awak ‘Cleaning Services’ Berharap UNAIR Semakin Maju dan Unggul
55,Rektor dan Kepala SMA se-Jatim Diskusi Problem Penerimaan Mahasiswa Baru
55,"Gandeng Kepala Sekolah se-Jatim, UNAIR Gelar Tour De Campus"
55,Ratusan Pelajar dari Tiga Kota Bersemangat Kunjungi UNAIR
55,"Meski Turun Hujan, Penutupan AISC-ISS Berlangsung Meriah"
55,"Hari Terakhir AISC-ISS, Mahasiswa Asing se-Indonesia Ikuti Kelas Budaya dan Pilih Ketua Baru"
56,"Puluhan Tahun Tak Bersua, Alumni FK UNAIR  ‘Napak Tilas’"
56,Booth Foto UNAIR News Ramai Dikunjungi Pimpinan Hingga Siswa SMA
56,FKH UNAIR Siap Produksi Lebih Dari 20.000 Sperma Beku Sapi
